DateKey,Flight,Departure Airport,Scheduled Departure Time,Actual Departure Time,Arrival Airport,Scheduled Arrival Time,Actual Arrival Time
20210701,TTA30,SEA,06:15,06:18,PDX,07:15,07:56
20210701,TTA20,SEA,06:30,06:32,SFO,08:40,08:51
20210701,TTA10,SEA,06:10,07:10,LAX,08:55,08:58
20210701,TTA31,PDX,08:15,08:15,SEA,09:15,09:27
20210701,TTA11,LAX,09:50,10:00,SEA,12:35,12:32
20210701,TTA21,SFO,10:05,10:04,SEA,12:15,12:24
20210701,TTA32,SEA,10:15,10:35,PDX,11:15,11:22
20210701,TTA33,PDX,12:15,12:18,SEA,13:15,13:27
20210701,TTA22,SEA,13:35,13:49,SFO,15:45,15:42
20210701,TTA12,SEA,14:05,14:05,LAX,16:50,16:56
20210701,TTA34,SEA,14:15,14:20,PDX,15:15,15:21
20210701,TTA35,PDX,16:15,16:29,SEA,17:15,17:22
20210701,TTA23,SFO,17:35,17:41,SEA,19:45,20:04
20210701,TTA13,LAX,18:05,18:09,SEA,20:50,20:51
20210701,TTA36,SEA,18:15,18:19,PDX,19:15,19:11
20210701,TTA37,PDX,20:15,20:24,SEA,21:15,21:25
20210702,TTA10,SEA,06:10,06:18,LAX,08:55,08:57
20210702,TTA30,SEA,06:15,06:19,PDX,07:15,07:11
20210702,TTA20,SEA,06:30,06:27,SFO,08:40,08:42
20210702,TTA31,PDX,08:15,08:21,SEA,09:15,09:15
20210702,TTA11,LAX,09:50,09:45,SEA,12:35,12:36
20210702,TTA21,SFO,10:05,10:09,SEA,12:15,12:20
20210702,TTA32,SEA,10:15,10:19,PDX,11:15,11:10
20210702,TTA33,PDX,12:15,12:24,SEA,13:15,13:20
20210702,TTA12,SEA,14:05,14:11,LAX,16:50,16:54
20210702,TTA22,SEA,13:35,14:17,SFO,15:45,15:49
20210702,TTA34,SEA,14:15,14:27,PDX,15:15,15:15
20210702,TTA35,PDX,16:15,16:10,SEA,17:15,17:29
20210702,TTA23,SFO,17:35,17:42,SEA,19:45,19:43
20210702,TTA13,LAX,18:05,18:09,SEA,20:50,21:31
20210702,TTA36,SEA,18:15,18:25,PDX,19:15,19:19
20210702,TTA37,PDX,20:15,20:13,SEA,21:15,21:15
20210703,TTA20,SEA,06:30,,SFO,08:40,
20210703,TTA21,SFO,10:05,,SEA,12:15,
20210703,TTA10,SEA,06:10,06:06,LAX,08:55,09:13
20210703,TTA30,SEA,06:15,06:16,PDX,07:15,07:22
20210703,TTA31,PDX,08:15,08:14,SEA,09:15,09:24
20210703,TTA11,LAX,09:50,10:00,SEA,12:35,12:41
20210703,TTA32,SEA,10:15,10:24,PDX,11:15,11:22
20210703,TTA33,PDX,12:15,12:56,SEA,13:15,13:20
20210703,TTA22,SEA,13:35,13:34,SFO,15:45,15:58
20210703,TTA12,SEA,14:05,14:21,LAX,16:50,17:10
20210703,TTA34,SEA,14:15,14:25,PDX,15:15,15:15
20210703,TTA35,PDX,16:15,16:21,SEA,17:15,17:21
20210703,TTA23,SFO,17:35,17:33,SEA,19:45,19:51
20210703,TTA36,SEA,18:15,18:15,PDX,19:15,19:21
20210703,TTA13,LAX,18:05,18:47,SEA,20:50,20:45
20210703,TTA37,PDX,20:15,21:51,SEA,21:15,21:21
20210704,TTA20,SEA,06:30,,SFO,08:40,
20210704,TTA21,SFO,10:05,,SEA,12:15,
20210704,TTA10,SEA,06:10,06:11,LAX,08:55,08:51
20210704,TTA30,SEA,06:15,06:11,PDX,07:15,07:55
20210704,TTA31,PDX,08:15,08:26,SEA,09:15,09:13
20210704,TTA11,LAX,09:50,09:56,SEA,12:35,12:39
20210704,TTA32,SEA,10:15,10:20,PDX,11:15,11:15
20210704,TTA33,PDX,12:15,12:13,SEA,13:15,13:21
20210704,TTA12,SEA,14:05,14:16,LAX,16:50,16:58
20210704,TTA34,SEA,14:15,14:20,PDX,15:15,15:15
20210704,TTA22,SEA,13:35,14:30,SFO,15:45,15:41
20210704,TTA35,PDX,16:15,16:13,SEA,17:15,17:18
20210704,TTA23,SFO,17:35,17:52,SEA,19:45,19:45
20210704,TTA13,LAX,18:05,17:58,SEA,20:50,20:46
20210704,TTA36,SEA,18:15,18:20,PDX,19:15,19:25
20210704,TTA37,PDX,20:15,20:15,SEA,21:15,21:12
20210705,TTA35,PDX,16:15,,SEA,17:15,
20210705,TTA34,SEA,14:15,,PDX,15:15,
20210705,TTA10,SEA,06:10,06:17,LAX,08:55,08:57
20210705,TTA30,SEA,06:15,06:19,PDX,07:15,07:33
20210705,TTA20,SEA,06:30,06:40,SFO,08:40,08:46
20210705,TTA31,PDX,08:15,08:20,SEA,09:15,09:20
20210705,TTA11,LAX,09:50,09:58,SEA,12:35,12:37
20210705,TTA21,SFO,10:05,10:10,SEA,12:15,12:26
20210705,TTA32,SEA,10:15,10:17,PDX,11:15,11:17
20210705,TTA33,PDX,12:15,12:15,SEA,13:15,13:22
20210705,TTA22,SEA,13:35,13:39,SFO,15:45,15:45
20210705,TTA12,SEA,14:05,14:03,LAX,16:50,16:45
20210705,TTA23,SFO,17:35,17:38,SEA,19:45,19:55
20210705,TTA36,SEA,18:15,18:21,PDX,19:15,19:23
20210705,TTA13,LAX,18:05,19:00,SEA,20:50,21:07
20210705,TTA37,PDX,20:15,21:50,SEA,21:15,21:15
20210706,TTA10,SEA,06:10,06:09,LAX,08:55,08:51
20210706,TTA20,SEA,06:30,06:27,SFO,08:40,08:36
20210706,TTA30,SEA,06:15,07:15,PDX,07:15,07:11
20210706,TTA31,PDX,08:15,08:15,SEA,09:15,09:23
20210706,TTA11,LAX,09:50,09:52,SEA,12:35,12:50
20210706,TTA21,SFO,10:05,10:12,SEA,12:15,12:16
20210706,TTA32,SEA,10:15,10:21,PDX,11:15,11:15
20210706,TTA33,PDX,12:15,12:15,SEA,13:15,13:13
20210706,TTA12,SEA,14:05,14:17,LAX,16:50,16:58
20210706,TTA34,SEA,14:15,14:23,PDX,15:15,15:22
20210706,TTA22,SEA,13:35,14:35,SFO,15:45,15:50
20210706,TTA35,PDX,16:15,16:56,SEA,17:15,17:20
20210706,TTA23,SFO,17:35,17:43,SEA,19:45,19:48
20210706,TTA13,LAX,18:05,18:11,SEA,20:50,20:45
20210706,TTA36,SEA,18:15,18:23,PDX,19:15,19:19
20210706,TTA37,PDX,20:15,20:20,SEA,21:15,21:18
20210707,TTA33,PDX,12:15,,SEA,13:15,
20210707,TTA32,SEA,10:15,,PDX,11:15,
20210707,TTA10,SEA,06:10,06:11,LAX,08:55,08:59
20210707,TTA30,SEA,06:15,06:13,PDX,07:15,07:15
20210707,TTA20,SEA,06:30,06:40,SFO,08:40,08:36
20210707,TTA31,PDX,08:15,08:27,SEA,09:15,09:12
20210707,TTA11,LAX,09:50,09:51,SEA,12:35,12:55
20210707,TTA21,SFO,10:05,10:10,SEA,12:15,12:19
20210707,TTA22,SEA,13:35,13:52,SFO,15:45,15:48
20210707,TTA12,SEA,14:05,14:13,LAX,16:50,16:49
20210707,TTA34,SEA,14:15,14:21,PDX,15:15,15:18
20210707,TTA35,PDX,16:15,16:21,SEA,17:15,17:29
20210707,TTA23,SFO,17:35,17:47,SEA,19:45,19:49
20210707,TTA13,LAX,18:05,18:15,SEA,20:50,21:02
20210707,TTA36,SEA,18:15,18:24,PDX,19:15,19:10
20210707,TTA37,PDX,20:15,20:15,SEA,21:15,21:25
