"ProductKey","Product","Standard Cost","Color","Subcategory","Category"
"210","HL Road Frame - Black, 58","868.6300","Black","Road Frames","Components"
"211","HL Road Frame - Red, 58","868.6300","Red","Road Frames","Components"
"212","Sport-100 Helmet, Red","12.0300","Red","Helmets","Accessories"
"213","Sport-100 Helmet, Red","13.8800","Red","Helmets","Accessories"
"214","Sport-100 Helmet, Red","13.0900","Red","Helmets","Accessories"
"215","Sport-100 Helmet, Black","12.0300","Black","Helmets","Accessories"
"216","Sport-100 Helmet, Black","13.8800","Black","Helmets","Accessories"
"217","Sport-100 Helmet, Black","13.0900","Black","Helmets","Accessories"
"218","Mountain Bike Socks, M","3.4000","White","Socks","Clothing"
"219","Mountain Bike Socks, L","3.4000","White","Socks","Clothing"
"220","Sport-100 Helmet, Blue","12.0300","Blue","Helmets","Accessories"
"221","Sport-100 Helmet, Blue","13.8800","Blue","Helmets","Accessories"
"222","Sport-100 Helmet, Blue","13.0900","Blue","Helmets","Accessories"
"223","AWC Logo Cap","5.7100","Multi","Caps","Clothing"
"224","AWC Logo Cap","5.2300","Multi","Caps","Clothing"
"225","AWC Logo Cap","6.9200","Multi","Caps","Clothing"
"226","Long-Sleeve Logo Jersey, S","31.7200","Multi","Jerseys","Clothing"
"227","Long-Sleeve Logo Jersey, S","29.0800","Multi","Jerseys","Clothing"
"228","Long-Sleeve Logo Jersey, S","38.4900","Multi","Jerseys","Clothing"
"229","Long-Sleeve Logo Jersey, M","31.7200","Multi","Jerseys","Clothing"
"230","Long-Sleeve Logo Jersey, M","29.0800","Multi","Jerseys","Clothing"
"231","Long-Sleeve Logo Jersey, M","38.4900","Multi","Jerseys","Clothing"
"232","Long-Sleeve Logo Jersey, L","31.7200","Multi","Jerseys","Clothing"
"233","Long-Sleeve Logo Jersey, L","29.0800","Multi","Jerseys","Clothing"
"234","Long-Sleeve Logo Jersey, L","38.4900","Multi","Jerseys","Clothing"
"235","Long-Sleeve Logo Jersey, XL","31.7200","Multi","Jerseys","Clothing"
"236","Long-Sleeve Logo Jersey, XL","29.0800","Multi","Jerseys","Clothing"
"237","Long-Sleeve Logo Jersey, XL","38.4900","Multi","Jerseys","Clothing"
"238","HL Road Frame - Red, 62","747.9700","Red","Road Frames","Components"
"239","HL Road Frame - Red, 62","722.2600","Red","Road Frames","Components"
"240","HL Road Frame - Red, 62","868.6300","Red","Road Frames","Components"
"241","HL Road Frame - Red, 44","747.9700","Red","Road Frames","Components"
"242","HL Road Frame - Red, 44","722.2600","Red","Road Frames","Components"
"243","HL Road Frame - Red, 44","868.6300","Red","Road Frames","Components"
"244","HL Road Frame - Red, 48","747.9700","Red","Road Frames","Components"
"245","HL Road Frame - Red, 48","722.2600","Red","Road Frames","Components"
"246","HL Road Frame - Red, 48","868.6300","Red","Road Frames","Components"
"247","HL Road Frame - Red, 52","747.9700","Red","Road Frames","Components"
"248","HL Road Frame - Red, 52","722.2600","Red","Road Frames","Components"
"249","HL Road Frame - Red, 52","868.6300","Red","Road Frames","Components"
"250","HL Road Frame - Red, 56","747.9700","Red","Road Frames","Components"
"251","HL Road Frame - Red, 56","722.2600","Red","Road Frames","Components"
"252","HL Road Frame - Red, 56","868.6300","Red","Road Frames","Components"
"253","LL Road Frame - Black, 58","176.2000","Black","Road Frames","Components"
"254","LL Road Frame - Black, 58","170.1400","Black","Road Frames","Components"
"255","LL Road Frame - Black, 58","204.6300","Black","Road Frames","Components"
"256","LL Road Frame - Black, 60","176.2000","Black","Road Frames","Components"
"257","LL Road Frame - Black, 60","170.1400","Black","Road Frames","Components"
"258","LL Road Frame - Black, 60","204.6300","Black","Road Frames","Components"
"259","LL Road Frame - Black, 62","176.2000","Black","Road Frames","Components"
"260","LL Road Frame - Black, 62","170.1400","Black","Road Frames","Components"
"261","LL Road Frame - Black, 62","204.6300","Black","Road Frames","Components"
"262","LL Road Frame - Red, 44","181.4900","Red","Road Frames","Components"
"263","LL Road Frame - Red, 44","187.1600","Red","Road Frames","Components"
"264","LL Road Frame - Red, 48","181.4900","Red","Road Frames","Components"
"265","LL Road Frame - Red, 48","187.1600","Red","Road Frames","Components"
"266","LL Road Frame - Red, 52","181.4900","Red","Road Frames","Components"
"267","LL Road Frame - Red, 52","187.1600","Red","Road Frames","Components"
"268","LL Road Frame - Red, 58","181.4900","Red","Road Frames","Components"
"269","LL Road Frame - Red, 58","187.1600","Red","Road Frames","Components"
"270","LL Road Frame - Red, 60","181.4900","Red","Road Frames","Components"
"271","LL Road Frame - Red, 60","187.1600","Red","Road Frames","Components"
"272","LL Road Frame - Red, 62","181.4900","Red","Road Frames","Components"
"273","LL Road Frame - Red, 62","187.1600","Red","Road Frames","Components"
"274","ML Road Frame - Red, 44","352.1400","Red","Road Frames","Components"
"275","ML Road Frame - Red, 48","352.1400","Red","Road Frames","Components"
"276","ML Road Frame - Red, 52","352.1400","Red","Road Frames","Components"
"277","ML Road Frame - Red, 58","352.1400","Red","Road Frames","Components"
"278","ML Road Frame - Red, 60","352.1400","Red","Road Frames","Components"
"279","LL Road Frame - Black, 44","176.2000","Black","Road Frames","Components"
"280","LL Road Frame - Black, 44","170.1400","Black","Road Frames","Components"
"281","LL Road Frame - Black, 44","204.6300","Black","Road Frames","Components"
"282","LL Road Frame - Black, 48","176.2000","Black","Road Frames","Components"
"283","LL Road Frame - Black, 48","170.1400","Black","Road Frames","Components"
"284","LL Road Frame - Black, 48","204.6300","Black","Road Frames","Components"
"285","LL Road Frame - Black, 52","176.2000","Black","Road Frames","Components"
"286","LL Road Frame - Black, 52","170.1400","Black","Road Frames","Components"
"287","LL Road Frame - Black, 52","204.6300","Black","Road Frames","Components"
"288","HL Mountain Frame - Silver, 42","623.8400","Silver","Mountain Frames","Components"
"289","HL Mountain Frame - Silver, 42","660.9100","Silver","Mountain Frames","Components"
"290","HL Mountain Frame - Silver, 42","747.2000","Silver","Mountain Frames","Components"
"291","HL Mountain Frame - Silver, 44","706.8100","Silver","Mountain Frames","Components"
"292","HL Mountain Frame - Silver, 48","706.8100","Silver","Mountain Frames","Components"
"293","HL Mountain Frame - Silver, 46","623.8400","Silver","Mountain Frames","Components"
"294","HL Mountain Frame - Silver, 46","660.9100","Silver","Mountain Frames","Components"
"295","HL Mountain Frame - Silver, 46","747.2000","Silver","Mountain Frames","Components"
"296","HL Mountain Frame - Black, 42","617.0300","Black","Mountain Frames","Components"
"297","HL Mountain Frame - Black, 42","653.7000","Black","Mountain Frames","Components"
"298","HL Mountain Frame - Black, 42","739.0400","Black","Mountain Frames","Components"
"299","HL Mountain Frame - Black, 44","699.0900","Black","Mountain Frames","Components"
"300","HL Mountain Frame - Black, 48","699.0900","Black","Mountain Frames","Components"
"301","HL Mountain Frame - Black, 46","617.0300","Black","Mountain Frames","Components"
"302","HL Mountain Frame - Black, 46","653.7000","Black","Mountain Frames","Components"
"303","HL Mountain Frame - Black, 46","739.0400","Black","Mountain Frames","Components"
"304","HL Mountain Frame - Black, 38","617.0300","Black","Mountain Frames","Components"
"305","HL Mountain Frame - Black, 38","653.7000","Black","Mountain Frames","Components"
"306","HL Mountain Frame - Black, 38","739.0400","Black","Mountain Frames","Components"
"307","HL Mountain Frame - Silver, 38","623.8400","Silver","Mountain Frames","Components"
"308","HL Mountain Frame - Silver, 38","660.9100","Silver","Mountain Frames","Components"
"309","HL Mountain Frame - Silver, 38","747.2000","Silver","Mountain Frames","Components"
"310","Road-150 Red, 62","2171.2900","Red","Road Bikes","Bikes"
"311","Road-150 Red, 44","2171.2900","Red","Road Bikes","Bikes"
"312","Road-150 Red, 48","2171.2900","Red","Road Bikes","Bikes"
"313","Road-150 Red, 52","2171.2900","Red","Road Bikes","Bikes"
"314","Road-150 Red, 56","2171.2900","Red","Road Bikes","Bikes"
"315","Road-450 Red, 58","884.7100","Red","Road Bikes","Bikes"
"316","Road-450 Red, 60","884.7100","Red","Road Bikes","Bikes"
"317","Road-450 Red, 44","884.7100","Red","Road Bikes","Bikes"
"318","Road-450 Red, 48","884.7100","Red","Road Bikes","Bikes"
"319","Road-450 Red, 52","884.7100","Red","Road Bikes","Bikes"
"320","Road-650 Red, 58","413.1500","Red","Road Bikes","Bikes"
"321","Road-650 Red, 58","486.7100","Red","Road Bikes","Bikes"
"322","Road-650 Red, 60","413.1500","Red","Road Bikes","Bikes"
"323","Road-650 Red, 60","486.7100","Red","Road Bikes","Bikes"
