"SalesOrderNumber","OrderDate","ProductKey","ResellerKey","EmployeeKey","SalesTerritoryKey","Quantity","Unit Price","Sales","Cost"
"SO43659","7/1/2017 12:00:00 AM","349","676","285","5","1","2024.99","2024.99","1898.0900"
"SO43659","7/1/2017 12:00:00 AM","350","676","285","5","3","2024.99","6074.97","5694.2700"
"SO43659","7/1/2017 12:00:00 AM","351","676","285","5","1","2024.99","2024.99","1898.0900"
"SO43659","7/1/2017 12:00:00 AM","344","676","285","5","1","2039.99","2039.99","1912.1500"
"SO43659","7/1/2017 12:00:00 AM","345","676","285","5","1","2039.99","2039.99","1912.1500"
"SO43659","7/1/2017 12:00:00 AM","346","676","285","5","2","2039.99","4079.98","3824.3000"
"SO43659","7/1/2017 12:00:00 AM","347","676","285","5","1","2039.99","2039.99","1912.1500"
"SO43659","7/1/2017 12:00:00 AM","229","676","285","5","3","28.84","86.52","95.1600"
"SO43659","7/1/2017 12:00:00 AM","235","676","285","5","1","28.84","28.84","31.7200"
"SO43659","7/1/2017 12:00:00 AM","218","676","285","5","6","5.70","34.20","20.4000"
"SO43659","7/1/2017 12:00:00 AM","223","676","285","5","2","5.19","10.38","11.4200"
"SO43659","7/1/2017 12:00:00 AM","220","676","285","5","4","20.19","80.76","48.1200"
"SO43660","7/1/2017 12:00:00 AM","326","117","285","5","1","419.46","419.46","413.1500"
"SO43660","7/1/2017 12:00:00 AM","319","117","285","5","1","874.79","874.79","884.7100"
"SO43661","7/2/2017 12:00:00 AM","300","442","288","6","1","809.76","809.76","699.0900"
"SO43661","7/2/2017 12:00:00 AM","296","442","288","6","1","714.70","714.70","617.0300"
"SO43661","7/2/2017 12:00:00 AM","304","442","288","6","2","714.70","1429.40","1234.0600"
"SO43661","7/2/2017 12:00:00 AM","223","442","288","6","4","5.19","20.76","22.8400"
"SO43661","7/2/2017 12:00:00 AM","232","442","288","6","4","28.84","115.36","126.8800"
"SO43661","7/2/2017 12:00:00 AM","293","442","288","6","2","722.59","1445.18","1247.6800"
"SO43661","7/2/2017 12:00:00 AM","348","442","288","6","3","2024.99","6074.97","5694.2700"
"SO43661","7/2/2017 12:00:00 AM","351","442","288","6","2","2024.99","4049.98","3796.1800"
"SO43661","7/2/2017 12:00:00 AM","220","442","288","6","2","20.19","40.38","24.0600"
"SO43661","7/2/2017 12:00:00 AM","292","442","288","6","2","818.70","1637.40","1413.6200"
"SO43661","7/2/2017 12:00:00 AM","349","442","288","6","4","2024.99","8099.96","7592.3600"
"SO43661","7/2/2017 12:00:00 AM","346","442","288","6","2","2039.99","4079.98","3824.3000"
"SO43661","7/2/2017 12:00:00 AM","235","442","288","6","2","28.84","57.68","63.4400"
"SO43661","7/2/2017 12:00:00 AM","350","442","288","6","2","2024.99","4049.98","3796.1800"
"SO43661","7/2/2017 12:00:00 AM","215","442","288","6","5","20.19","100.95","60.1500"
"SO43662","7/3/2017 12:00:00 AM","330","227","288","6","3","419.46","1258.38","1239.4500"
"SO43662","7/3/2017 12:00:00 AM","342","227","288","6","5","419.46","2097.30","2065.7500"
"SO43662","7/3/2017 12:00:00 AM","272","227","288","6","2","183.94","367.88","362.9800"
"SO43662","7/3/2017 12:00:00 AM","315","227","288","6","4","874.79","3499.16","3538.8400"
"SO43662","7/3/2017 12:00:00 AM","262","227","288","6","3","183.94","551.82","544.4700"
"SO43662","7/3/2017 12:00:00 AM","326","227","288","6","5","419.46","2097.30","2065.7500"
"SO43662","7/3/2017 12:00:00 AM","332","227","288","6","3","419.46","1258.38","1239.4500"
"SO43662","7/3/2017 12:00:00 AM","338","227","288","6","2","419.46","838.92","826.3000"
"SO43662","7/3/2017 12:00:00 AM","314","227","288","6","1","2146.96","2146.96","2171.2900"
"SO43662","7/3/2017 12:00:00 AM","317","227","288","6","1","874.79","874.79","884.7100"
"SO43662","7/3/2017 12:00:00 AM","328","227","288","6","3","419.46","1258.38","1239.4500"
"SO43662","7/3/2017 12:00:00 AM","275","227","288","6","1","356.90","356.90","352.1400"
"SO43662","7/3/2017 12:00:00 AM","319","227","288","6","6","874.79","5248.74","5308.2600"
"SO43662","7/3/2017 12:00:00 AM","270","227","288","6","1","183.94","183.94","181.4900"
"SO43662","7/3/2017 12:00:00 AM","253","227","288","6","3","178.58","535.74","528.6000"
"SO43662","7/3/2017 12:00:00 AM","310","227","288","6","1","2146.96","2146.96","2171.2900"
"SO43662","7/3/2017 12:00:00 AM","322","227","288","6","3","419.46","1258.38","1239.4500"
"SO43662","7/3/2017 12:00:00 AM","264","227","288","6","1","183.94","183.94","181.4900"
"SO43662","7/3/2017 12:00:00 AM","276","227","288","6","1","356.90","356.90","352.1400"
"SO43662","7/3/2017 12:00:00 AM","285","227","288","6","1","178.58","178.58","176.2000"
"SO43662","7/3/2017 12:00:00 AM","334","227","288","6","3","419.46","1258.38","1239.4500"
"SO43662","7/3/2017 12:00:00 AM","316","227","288","6","1","874.79","874.79","884.7100"
"SO43663","7/3/2017 12:00:00 AM","322","510","282","4","1","419.46","419.46","413.1500"
"SO43664","7/4/2017 12:00:00 AM","345","397","286","1","1","2039.99","2039.99","1912.1500"
"SO43664","7/4/2017 12:00:00 AM","348","397","286","1","4","2024.99","8099.96","7592.3600"
"SO43664","7/4/2017 12:00:00 AM","229","397","286","1","1","28.84","28.84","31.7200"
"SO43664","7/4/2017 12:00:00 AM","235","397","286","1","1","28.84","28.84","31.7200"
"SO43664","7/4/2017 12:00:00 AM","350","397","286","1","2","2024.99","4049.98","3796.1800"
"SO43664","7/4/2017 12:00:00 AM","344","397","286","1","3","2039.99","6119.97","5736.4500"
"SO43664","7/4/2017 12:00:00 AM","346","397","286","1","1","2039.99","2039.99","1912.1500"
"SO43664","7/4/2017 12:00:00 AM","351","397","286","1","1","2024.99","2024.99","1898.0900"
"SO43665","7/4/2017 12:00:00 AM","220","146","289","1","2","20.19","40.38","24.0600"
"SO43665","7/4/2017 12:00:00 AM","346","146","289","1","1","2039.99","2039.99","1912.1500"
"SO43665","7/4/2017 12:00:00 AM","212","146","289","1","1","20.19","20.19","12.0300"
"SO43665","7/4/2017 12:00:00 AM","232","146","289","1","2","28.84","57.68","63.4400"
"SO43665","7/4/2017 12:00:00 AM","350","146","289","1","2","2024.99","4049.98","3796.1800"
"SO43665","7/4/2017 12:00:00 AM","223","146","289","1","2","5.19","10.38","11.4200"
"SO43665","7/4/2017 12:00:00 AM","348","146","289","1","2","2024.99","4049.98","3796.1800"
"SO43665","7/4/2017 12:00:00 AM","351","146","289","1","1","2024.99","2024.99","1898.0900"
"SO43665","7/4/2017 12:00:00 AM","218","146","289","1","6","5.70","34.20","20.4000"
"SO43665","7/4/2017 12:00:00 AM","349","146","289","1","1","2024.99","2024.99","1898.0900"
"SO43666","7/5/2017 12:00:00 AM","330","511","282","4","1","419.46","419.46","413.1500"
"SO43666","7/5/2017 12:00:00 AM","314","511","282","4","1","2146.96","2146.96","2171.2900"
"SO43666","7/5/2017 12:00:00 AM","275","511","282","4","1","356.90","356.90","352.1400"
"SO43666","7/5/2017 12:00:00 AM","317","511","282","4","1","874.79","874.79","884.7100"
"SO43666","7/5/2017 12:00:00 AM","338","511","282","4","2","419.46","838.92","826.3000"
"SO43666","7/5/2017 12:00:00 AM","334","511","282","4","1","419.46","419.46","413.1500"
"SO43667","7/6/2017 12:00:00 AM","219","646","283","3","3","5.70","17.10","10.1900"
"SO43667","7/6/2017 12:00:00 AM","346","646","283","3","1","2039.99","2039.99","1912.1500"
"SO43667","7/6/2017 12:00:00 AM","351","646","283","3","1","2024.99","2024.99","1898.0900"
"SO43667","7/6/2017 12:00:00 AM","348","646","283","3","1","2024.99","2024.99","1898.0900"
"SO43668","7/7/2017 12:00:00 AM","317","514","288","6","3","874.79","2624.37","2654.1200"
"SO43668","7/7/2017 12:00:00 AM","314","514","288","6","2","2146.96","4293.92","4342.5900"
"SO43668","7/7/2017 12:00:00 AM","322","514","288","6","7","419.46","2936.22","2892.0200"
"SO43668","7/7/2017 12:00:00 AM","332","514","288","6","6","419.46","2516.76","2478.8800"
"SO43668","7/7/2017 12:00:00 AM","232","514","288","6","6","28.84","173.04","190.3500"
"SO43668","7/7/2017 12:00:00 AM","272","514","288","6","6","183.94","1103.64","1088.9100"
"SO43668","7/7/2017 12:00:00 AM","212","514","288","6","2","20.19","40.38","24.0600"
"SO43668","7/7/2017 12:00:00 AM","220","514","288","6","2","20.19","40.38","24.0600"
"SO43668","7/7/2017 12:00:00 AM","315","514","288","6","2","874.79","1749.58","1769.4200"
"SO43668","7/7/2017 12:00:00 AM","223","514","288","6","4","5.19","20.76","22.8200"
"SO43668","7/7/2017 12:00:00 AM","270","514","288","6","2","183.94","367.88","362.9700"
"SO43668","7/7/2017 12:00:00 AM","316","514","288","6","3","874.79","2624.37","2654.1200"
